RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;Link do SAT no Banco de Dados
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,97881267;-47,81956722;1059,4979;1046,867;-12,6309;-12,57;-0,0609;#REF!
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,01976711;-47,80082047;882,4898;869,761;-12,7288;-12,59;-0,1388;#REF!
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,56334322;-47,65919128;1015,9372;1002,807;-13,1302;-12,98;-0,1502;#REF!
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,53049706;-47,62543503;1037,8666;1024,758;-13,1086;-13,08;-0,0286;#REF!
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,93774675;-47,80751133;1041,0164;1028,741;-12,2754;-12,58;0,3046;#REF!
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,94799675;-47,71232339;1012,9521;1000,167;-12,7851;-12,77;-0,0151;#REF!
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,96036078;-47,63695192;963,8676;951,03;-12,8376;-12,73;-0,1076;#REF!
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,02463192;-47,54575956;1038,453;1025,616;-12,837;-12,79;-0,047;#REF!
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,85077928;-47,62406494;1048,3217;1035,494;-12,8277;-12,76;-0,0677;#REF!
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,73390819;-47,66161067;923,6838;910,795;-12,8888;-12,79;-0,0988;#REF!
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,03741039;-47,41391667;872,0277;859,058;-12,9697;-12,84;-0,1297;#REF!
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,79005311;-47,38055708;940,7088;927,563;-13,1458;-12,99;-0,1558;#REF!
2227Z;91325;CENTRO-OESTE;DISTRITO FEDERAL;-15,62896672;-47,35662889;918,8448;905,579;-13,2658;-13,19;-0,0758;#REF!
2263R;91330;CENTRO-OESTE;DISTRITO FEDERAL;-15,69384347;-48,21695503;1076,3926;1064,109;-12,2836;-12,27;-0,0136;#REF!
2264G;91328;CENTRO-OESTE;DISTRITO FEDERAL;-15,55604203;-48,19596836;940,2857;927,434;-12,8517;-12,82;-0,0317;#REF!
2369V;91200;CENTRO-OESTE;DISTRITO FEDERAL;-15,94747533;-47,87786897;1118,4798;1106,018;-12,4618;-12,46;-0,0018;#REF!
2378G;91166;CENTRO-OESTE;DISTRITO FEDERAL;-15,94780003;-47,87698022;1113,6086;1101,08;-12,5286;-12,46;-0,0686;#REF!
2378H;91167;CENTRO-OESTE;DISTRITO FEDERAL;-15,94676344;-47,87862483;1108,2206;1095,701;-12,5196;-12,45;-0,0696;#REF!
2378J;91168;CENTRO-OESTE;DISTRITO FEDERAL;-15,94864972;-47,87818564;1115,7642;1103,236;-12,5282;-12,45;-0,0782;#REF!
2378L;91127;CENTRO-OESTE;DISTRITO FEDERAL;-15,94618972;-47,88426428;1102,4729;1090,005;-12,4679;-12,44;-0,0279;#REF!
9305U;91315;CENTRO-OESTE;DISTRITO FEDERAL;-15,78136442;-47,79069275;1072,5604;1059,904;-12,6564;-12,59;-0,0664;#REF!
9501V;96123;CENTRO-OESTE;DISTRITO FEDERAL;-15,92743372;-47,83373064;1168,3814;1155,874;-12,5074;-12,53;0,0226;#REF!
1236J;92840;CENTRO-OESTE;GOIÁS;-18,76971586;-51,34813883;481,3955;474,547;-6,8485;-6,9;0,0515;#REF!
1256H;91309;CENTRO-OESTE;GOIÁS;-15,85154381;-50,09238836;665,713;657,969;-7,744;-7,6;-0,144;#REF!
1256L;92846;CENTRO-OESTE;GOIÁS;-15,80511681;-50,12075675;523,1271;515,346;-7,7811;-7,59;-0,1911;#REF!
1282V;92848;CENTRO-OESTE;GOIÁS;-14,49316617;-50,06449125;416,984;407,44;-9,544;-9,65;0,106;#REF!
1287S;92842;CENTRO-OESTE;GOIÁS;-17,12841953;-51,22429592;851,1188;846,014;-5,1048;-5,02;-0,0848;#REF!
1288T;92841;CENTRO-OESTE;GOIÁS;-17,57456722;-51,09085408;807,189;801,734;-5,455;-5,3;-0,155;#REF!
1357V;92849;CENTRO-OESTE;GOIÁS;-13,27299408;-50,16257308;331,686;319,143;-12,543;-12,43;-0,113;#REF!
2269L;92603;CENTRO-OESTE;GOIÁS;-14,181619;-48,076216;495,0596;479,786;-15,2736;-15,2;-0,0736;#REF!
2269M;92602;CENTRO-OESTE;GOIÁS;-14,160942;-48,075583;535,3635;520,118;-15,2455;-15,18;-0,0655;#REF!
2326G;92613;CENTRO-OESTE;GOIÁS;-16,69019336;-49,25344933;800,9625;791,146;-9,8165;-9,59;-0,2265;#REF!
3200V;92858;CENTRO-OESTE;GOIÁS;-16,93117481;-48,37079414;957,488;946,032;-11,456;-11,34;-0,116;#REF!
3254X;92604;CENTRO-OESTE;GOIÁS;-13,73127289;-48,14017025;333,3172;318,692;-14,6252;-14,46;-0,1652;#REF!
3254Z;92622;CENTRO-OESTE;GOIÁS;-13,88602272;-48,15077025;702,433;687,819;-14,614;-14,52;-0,094;#REF!
3261L;92713;CENTRO-OESTE;GOIÁS;-18,38840811;-49,06876725;523,3435;511,929;-11,4145;-11,22;-0,1945;#REF!
651J;92839;CENTRO-OESTE;GOIÁS;-18,21658981;-49,73742794;630,4158;621,797;-8,6188;-8,6;-0,0188;#REF!
663Z;92620;CENTRO-OESTE;GOIÁS;-14,527108;-49,105316;527,6151;515,362;-12,2531;-12,22;-0,0331;#REF!
674V;92861;CENTRO-OESTE;GOIÁS;-13,43526506;-49,14453411;397,064;384,915;-12,149;-12,02;-0,129;#REF!
700H;92844;CENTRO-OESTE;GOIÁS;-15,86444667;-50,86918836;322,2599;315,915;-6,3449;-6,15;-0,1949;#REF!
701Z;92845;CENTRO-OESTE;GOIÁS;-15,93387211;-50,14003242;490,3529;482,844;-7,5089;-7,32;-0,1889;#REF!
708E;92838;CENTRO-OESTE;GOIÁS;-17,14992753;-50,01745597;597,3262;589,237;-8,0892;-7,85;-0,2392;#REF!
717Z;92843;CENTRO-OESTE;GOIÁS;-17,35721675;-52,67941297;858,4669;855,003;-3,4639;-3,28;-0,1839;#REF!
1045V;92817;CENTRO-OESTE;MATO GROSSO;-15,65897883;-57,27045875;205,4987;210,809;5,3103;5,35;-0,0397;#REF!
1202K;92722;CENTRO-OESTE;MATO GROSSO;-17,09718;-54,760817;475,4488;477,443;1,9942;1,67;0,3242;#REF!
1215Z;90404;CENTRO-OESTE;MATO GROSSO;-10,185202;-54,945859;292,5947;283,022;-9,5727;-9,99;0,4173;#REF!
1220P;90295;CENTRO-OESTE;MATO GROSSO;-12,67283933;-55,79434469;322,027;319,193;-2,834;-2,62;-0,214;#REF!
1225B;92803;CENTRO-OESTE;MATO GROSSO;-15,48254008;-52,20313072;319,3291;314,148;-5,1811;-5,08;-0,1011;#REF!
1268V;92805;CENTRO-OESTE;MATO GROSSO;-11,762609;-51,961458;361,4682;349,278;-12,1902;-11,86;-0,3302;#REF!
1273L;92806;CENTRO-OESTE;MATO GROSSO;-10,54468183;-53,58310378;335,3922;323,324;-12,0682;-11,8;-0,2682;#REF!
1279N;91340;CENTRO-OESTE;MATO GROSSO;-11,532244;-56,757964;313,199;308,86;-4,339;-4;-0,339;#REF!
2197J;92802;CENTRO-OESTE;MATO GROSSO;-15,75532169;-53,61793844;610,7817;607,358;-3,4237;-3,26;-0,1637;#REF!
2222C;92813;CENTRO-OESTE;MATO GROSSO;-15,339169;-58,869826;366,6954;379,356;12,6606;12,49;0,1706;#REF!
2229R;91343;CENTRO-OESTE;MATO GROSSO;-13,65894731;-57,89143442;568,7417;575,618;6,8763;6,78;0,0963;#REF!
2231H;92815;CENTRO-OESTE;MATO GROSSO;-12,91912;-58,04651;475,036;481,374;6,338;6,33;0,008;#REF!
2234T;91345;CENTRO-OESTE;MATO GROSSO;-11,581004;-58,330561;277,8662;281,742;3,8758;3,71;0,1658;#REF!
2236Z;91346;CENTRO-OESTE;MATO GROSSO;-11,62834;-59,077742;369,1529;376,359;7,2061;6,72;0,4861;#REF!
2238E;92814;CENTRO-OESTE;MATO GROSSO;-11,988765;-59,42792;394,4884;404,088;9,5996;9,62;-0,0204;#REF!
2250L;92811;CENTRO-OESTE;MATO GROSSO;-15,07800906;-55,99485925;417,9485;418,466;0,5175;0,83;-0,3125;#REF!
3278H;92586;CENTRO-OESTE;MATO GROSSO;-15,55429525;-56,06883006;222,7995;224,893;2,0935;2,22;-0,1265;#REF!
3278J;92587;CENTRO-OESTE;MATO GROSSO;-15,55500942;-56,07063842;226,112;228,21;2,098;2,22;-0,122;#REF!
3278L;92588;CENTRO-OESTE;MATO GROSSO;-15,55595847;-56,07028522;230,542;232,563;2,021;2,23;-0,209;#REF!
3278M;92583;CENTRO-OESTE;MATO GROSSO;-15,555263;-56,06986656;235,3441;237,443;2,0989;2,22;-0,1211;#REF!
3278N;92584;CENTRO-OESTE;MATO GROSSO;-15,55084911;-56,05586756;250,891;252,937;2,046;2,18;-0,134;#REF!
724T;92818;CENTRO-OESTE;MATO GROSSO;-16,19011331;-54,78463194;293,9486;293,573;-0,3756;-0,23;-0,1456;#REF!
748G;92816;CENTRO-OESTE;MATO GROSSO;-14,44722172;-58,42119142;716,2459;727,158;10,9121;10,88;0,0321;#REF!
751B;91348;CENTRO-OESTE;MATO GROSSO;-14,07717181;-59,436271;642,4889;656,875;14,3861;14,25;0,1361;#REF!
9517B;91255;CENTRO-OESTE;MATO GROSSO;-13,84658539;-59,55636072;632,0236;645,808;13,7844;13,9;-0,1156;#REF!
1207X;91294;CENTRO-OESTE;MATO GROSSO DO SUL;-19,79160067;-54,36743286;619,2313;619,951;0,7197;0,97;-0,2503;#REF!
1247J;91308;CENTRO-OESTE;MATO GROSSO DO SUL;-21,839886;-52,67320294;352,6256;348,949;-3,6766;-3,59;-0,0866;#REF!
1249E;91307;CENTRO-OESTE;MATO GROSSO DO SUL;-21,62326478;-53,65172075;403,3889;401,315;-2,0739;-1,88;-0,1939;#REF!
1501B;91288;CENTRO-OESTE;MATO GROSSO DO SUL;-20,05198925;-51,84611186;481,8331;475,342;-6,4911;-6,27;-0,2211;#REF!
1505J;91290;CENTRO-OESTE;MATO GROSSO DO SUL;-19,616084;-52,509999;379,1061;373,252;-5,8541;-5,57;-0,2841;#REF!
1507H;91297;CENTRO-OESTE;MATO GROSSO DO SUL;-18,83883033;-53,13632247;716,3644;712,881;-3,4834;-3,43;-0,0534;#REF!
1513J;91292;CENTRO-OESTE;MATO GROSSO DO SUL;-19,71251953;-55,41121706;138,6258;144,259;5,6332;5,68;-0,0468;#REF!
1514C;91293;CENTRO-OESTE;MATO GROSSO DO SUL;-20,06224633;-55,63642528;152,0943;158,582;6,4877;6,59;-0,1023;#REF!
1518J;91301;CENTRO-OESTE;MATO GROSSO DO SUL;-21,63086508;-55,56966897;562,9441;569,769;6,8249;6,82;0,0049;#REF!
1520C;91299;CENTRO-OESTE;MATO GROSSO DO SUL;-21,69291261;-54,70756881;384,4296;386,637;2,2074;2,22;-0,0126;#REF!
1531Z;91306;CENTRO-OESTE;MATO GROSSO DO SUL;-22,36925956;-54,20897372;435,6806;435,734;0,0534;0,31;-0,2566;#REF!
1535L;91302;CENTRO-OESTE;MATO GROSSO DO SUL;-22,47062792;-55,40095303;573,3569;579,989;6,6321;6,59;0,0421;#REF!
1538M;92797;CENTRO-OESTE;MATO GROSSO DO SUL;-22,45584178;-54,84044706;415,8753;419,118;3,2427;3,43;-0,1873;#REF!
1540J;92798;CENTRO-OESTE;MATO GROSSO DO SUL;-23,22141456;-55,20734342;452,6887;457,982;5,2933;5,37;-0,0767;#REF!
1540V;91303;CENTRO-OESTE;MATO GROSSO DO SUL;-23,45750664;-55,15868897;414,0445;419,045;5,0005;5,05;-0,0495;#REF!
1549G;92801;CENTRO-OESTE;MATO GROSSO DO SUL;-23,75758006;-54,30602139;340,5944;343,006;2,4116;2,53;-0,1184;#REF!
1557E;91298;CENTRO-OESTE;MATO GROSSO DO SUL;-20,72961331;-56,62789222;398,0049;409,997;11,9921;11,88;0,1121;#REF!
1561R;92799;CENTRO-OESTE;MATO GROSSO DO SUL;-23,67595908;-55,39455294;343,2917;349,418;6,1263;6,14;-0,0137;#REF!
1563E;92800;CENTRO-OESTE;MATO GROSSO DO SUL;-23,97959081;-55,04033442;418,4996;423,764;5,2644;5,26;0,0044;#REF!
1564T;91304;CENTRO-OESTE;MATO GROSSO DO SUL;-23,53456778;-54,39535197;364,7957;366,869;2,0733;2,19;-0,1167;#REF!
1571H;91305;CENTRO-OESTE;MATO GROSSO DO SUL;-22,63953283;-54,04144656;382,6504;382,206;-0,4444;-0,31;-0,1344;#REF!
2258B;92723;CENTRO-OESTE;MATO GROSSO DO SUL;-18,17924461;-54,63763017;336,3815;337,581;1,1995;1,45;-0,2505;#REF!
2259D;91296;CENTRO-OESTE;MATO GROSSO DO SUL;-17,982899;-54,22640822;381,0665;380,334;-0,7325;-0,57;-0,1625;#REF!
255X;91289;CENTRO-OESTE;MATO GROSSO DO SUL;-20,55540486;-52,49993986;323,0012;317,679;-5,3222;-5,09;-0,2322;#REF!
258Y;91291;CENTRO-OESTE;MATO GROSSO DO SUL;-20,42918222;-55,31919992;194,6976;199,593;4,8954;4,76;0,1354;#REF!
3287D;92725;CENTRO-OESTE;MATO GROSSO DO SUL;-19,00028142;-57,62961472;142,8603;156,591;13,7307;13,81;-0,0793;#REF!
2483A;96514;NORDESTE;ALAGOAS;-9,760654111;-36,50675294;194,2789;186,652;-7,6269;-7,83;0,2031;#REF!
2515Z;96513;NORDESTE;ALAGOAS;-9,519784889;-36,9875975;190,4478;181,969;-8,4788;-8,54;0,0612;#REF!
2522M;93242;NORDESTE;ALAGOAS;-9,386775806;-37,99139433;233,1572;222,872;-10,2852;-10,3;0,0148;#REF!
2539X;93243;NORDESTE;ALAGOAS;-9,137575889;-37,31536822;396,1662;387,866;-8,3002;-8,44;0,1398;#REF!
1168C;93248;NORDESTE;BAHIA;-15,24194756;-40,32702331;328,3184;318,358;-9,9604;-10,07;0,1096;#REF!
1184N;93077;NORDESTE;BAHIA;-14,20354842;-42,757668;542,647;529,641;-13,006;-12,93;-0,076;#REF!
1184V;93078;NORDESTE;BAHIA;-14,21581433;-42,84318192;508,0783;495,124;-12,9543;-12,95;-0,0043;#REF!
1369E;93264;NORDESTE;BAHIA;-12,79357817;-45,95172892;761,007;747,183;-13,824;-13,79;-0,034;#REF!
2295G;93263;NORDESTE;BAHIA;-13,41246467;-44,72095667;713,497;701,434;-12,063;-12,08;0,017;#REF!
2295R;93080;NORDESTE;BAHIA;-13,34140497;-44,63726489;569,679;557,382;-12,297;-12,26;-0,037;#REF!
2300H;93266;NORDESTE;BAHIA;-12,70919944;-44,56589117;775,8569;762,297;-13,5599;-13,47;-0,0899;#REF!
2302R;93083;NORDESTE;BAHIA;-12,16497817;-45,00862619;444,3081;429,295;-15,0131;-14,91;-0,1031;#REF!
2303H;93265;NORDESTE;BAHIA;-12,430357;-45,084385;524,7628;511,219;-13,5438;-14,01;0,4662;#REF!
232O;93289;NORDESTE;BAHIA;-14,12006919;-40,2301735;298,4745;288,947;-9,5275;-9,68;0,1525;#REF!
2361E;93285;NORDESTE;BAHIA;-12,98413997;-44,04920136;531,8772;518,057;-13,8202;-13,78;-0,0402;#REF!
2501Z;93124;NORDESTE;BAHIA;-10,535493;-38,384022;430,2478;415,919;-14,3288;-14,13;-0,1988;#REF!
2556A;93135;NORDESTE;BAHIA;-11,55608983;-38,133931;168,8963;157,083;-11,8133;-11,78;-0,0333;#REF!
2558X;93305;NORDESTE;BAHIA;-11,95896883;-37,95308347;84,4796;73,953;-10,5266;-10,42;-0,1066;#REF!
2560A;93131;NORDESTE;BAHIA;-12,165413;-38,475768;220,4495;208,289;-12,1605;-11,98;-0,1805;#REF!
2561L;93125;NORDESTE;BAHIA;-10,70119819;-38,19899508;252,5942;239,774;-12,8202;-12,59;-0,2302;#REF!
2564D;93136;NORDESTE;BAHIA;-11,62612289;-38,30135486;274,2727;261,286;-12,9867;-12,78;-0,2067;#REF!
2567P;93138;NORDESTE;BAHIA;-12,65094308;-38,33879533;53,7121;42,342;-11,3701;-11,24;-0,1301;#REF!
2576S;93130;NORDESTE;BAHIA;-11,67570422;-38,99619847;344,1188;332,095;-12,0238;-12;-0,0238;#REF!
2577M;93129;NORDESTE;BAHIA;-12,07394433;-38,96964081;241,3761;229,845;-11,5311;-11,48;-0,0511;#REF!
2605N;93119;NORDESTE;BAHIA;-10,56082733;-38,99007925;395,727;382,892;-12,835;-12,72;-0,115;#REF!
263X;93302;NORDESTE;BAHIA;-15,09822114;-39,99588742;246,7948;236,51;-10,2848;-10,38;0,0952;#REF!
2719N;93092;NORDESTE;BAHIA;-9,410191083;-40,81633922;400,662;387,001;-13,661;-13,58;-0,081;#REF!
2719P;93093;NORDESTE;BAHIA;-9,429485472;-40,82666978;399,0217;385,339;-13,6827;-13,61;-0,0727;#REF!
2719X;93091;NORDESTE;BAHIA;-9,489627111;-40,80819103;381,8828;368,203;-13,6798;-13,57;-0,1098;#REF!
2720V;93089;NORDESTE;BAHIA;-9,470142944;-40,54451003;374,2487;361,041;-13,2077;-13,08;-0,1277;#REF!
2774S;93268;NORDESTE;BAHIA;-10,87145281;-45,14512958;532,6981;516,199;-16,4991;-16,33;-0,1691;#REF!
2776N;93267;NORDESTE;BAHIA;-11,502677;-44,957125;505,2625;488,085;-17,1775;-16,96;-0,2175;#REF!
278H;93304;NORDESTE;BAHIA;-12,13468056;-39,33811969;245,2172;234,074;-11,1432;-11,24;0,0968;#REF!
2792B;93253;NORDESTE;BAHIA;-10,66587803;-39,51832714;370,7654;358,621;-12,1444;-12,21;0,0656;#REF!
2796G;93280;NORDESTE;BAHIA;-10,23608906;-40,20394086;674,8515;662,743;-12,1085;-12,1;-0,0085;#REF!
285C;93288;NORDESTE;BAHIA;-13,59498308;-41,36731936;1161,1113;1149,856;-11,2553;-11,4;0,1447;#REF!
289S;93308;NORDESTE;BAHIA;-11,17031753;-40,54122914;467,8062;455,701;-12,1052;-12,05;-0,0552;#REF!
296X;93127;NORDESTE;BAHIA;-10,89264792;-38,50996161;209,7491;194,877;-14,8721;-14,82;-0,0521;#REF!
310N;93281;NORDESTE;BAHIA;-11,05944;-42,310874;459,5591;443,603;-15,9561;-15,56;-0,3961;#REF!
314D;93122;NORDESTE;BAHIA;-9,936267556;-38,74820375;321,4322;308,807;-12,6252;-12,43;-0,1952;#REF!
317B;93126;NORDESTE;BAHIA;-10,20075931;-37,86736781;250,9831;240,734;-10,2491;-10,27;0,0209;#REF!
317T;93123;NORDESTE;BAHIA;-10,0851945;-38,28275244;255,9183;243,867;-12,0513;-11,97;-0,0813;#REF!
3266V;93249;NORDESTE;BAHIA;-15,96642036;-39,52655917;179,8408;170,743;-9,0978;-9,2;0,1022;#REF!
3272G;93250;NORDESTE;BAHIA;-17,02647719;-39,54000858;130,697;121,869;-8,828;-8,96;0,132;#REF!
3277H;93251;NORDESTE;BAHIA;-18,07742825;-39,54539233;4,6347;-3,313;-7,9477;-8,09;0,1423;#REF!
342Y;93120;NORDESTE;BAHIA;-9,850725944;-39,14320089;411,8941;400,25;-11,6441;-11,67;0,0259;#REF!
3600J;93134;NORDESTE;BAHIA;-12,97456764;-39,22509719;201,9346;190,702;-11,2326;-11,16;-0,0726;#REF!
3606R;93190;NORDESTE;BAHIA;-12,21690636;-37,83248075;28,4003;18,096;-10,3043;-10,28;-0,0243;#REF!
3608E;93306;NORDESTE;BAHIA;-11,82045;-37,63530442;20,8153;10,483;-10,3323;-10,23;-0,1023;#REF!
3614A;91312;NORDESTE;BAHIA;-14,21721336;-39,31601222;122,5946;113,844;-8,7506;-8,75;-0,0006;#REF!
3616N;93247;NORDESTE;BAHIA;-13,640456;-39,487434;271,6855;261,345;-10,3405;-10,23;-0,1105;#REF!
3618C;93097;NORDESTE;BAHIA;-12,8919745;-38,31597611;16,3572;5,718;-10,6392;-10,72;0,0808;#REF!
3618F;93098;NORDESTE;BAHIA;-12,89843344;-38,29722167;2,4353;-8,216;-10,6513;-10,71;0,0587;#REF!
3618G;93099;NORDESTE;BAHIA;-12,90596353;-38,30322075;2,883;-7,779;-10,662;-10,73;0,068;#REF!
3619D;93101;NORDESTE;BAHIA;-12,96031283;-38,39660978;5,8578;-4,805;-10,6628;-10,84;0,1772;#REF!
3619F;93102;NORDESTE;BAHIA;-12,96863869;-38,41067622;15,2062;4,495;-10,7112;-10,84;0,1288;#REF!
3619M;93103;NORDESTE;BAHIA;-12,99108961;-38,43998211;4,3344;-6,46;-10,7944;-10,84;0,0456;#REF!
3619N;93104;NORDESTE;BAHIA;-12,99823133;-38,4461945;5,8223;-5,043;-10,8653;-10,85;-0,0153;#REF!
3620A;93105;NORDESTE;BAHIA;-13,01124906;-38,50798125;3,3538;-7,552;-10,9058;-10,91;0,0042;#REF!
3620C;93036;NORDESTE;BAHIA;-13,00827272;-38,51168533;47,0685;36,18;-10,8885;-10,91;0,0215;#REF!
3620D;93111;NORDESTE;BAHIA;-13,00866989;-38,51235911;46,647;35,755;-10,892;-10,91;0,018;#REF!
3620G;93106;NORDESTE;BAHIA;-13,01082928;-38,52390233;24,7149;13,859;-10,8559;-10,93;0,0741;#REF!
3620S;93107;NORDESTE;BAHIA;-12,97400336;-38,51456942;2,9334;-8,016;-10,9494;-10,93;-0,0194;#REF!
3620V;93109;NORDESTE;BAHIA;-12,92306267;-38,36016381;19,2094;8,737;-10,4724;-10,8;0,3276;#REF!
3621L;93112;NORDESTE;BAHIA;-12,94962883;-38,43216814;61,6741;51,031;-10,6431;-10,78;0,1369;#REF!
3621N;93117;NORDESTE;BAHIA;-12,95492;-38,428655;38,5535;27,404;-11,1495;-10,78;-0,3695;#REF!
3622D;93115;NORDESTE;BAHIA;-12,97759181;-38,50256903;43,7586;32,914;-10,8446;-10,9;0,0554;#REF!
3622H;93108;NORDESTE;BAHIA;-12,92060711;-38,35358717;29,6562;18,857;-10,7992;-10,79;-0,0092;#REF!
3623Z;93032;NORDESTE;BAHIA;-13,29830006;-43,74039456;462,2311;448,28;-13,9511;-13,89;-0,0611;#REF!
3627U;93286;NORDESTE;BAHIA;-13,60964383;-42,94100153;627,2051;613,252;-13,9531;-13,99;0,0369;#REF!
3628V;93287;NORDESTE;BAHIA;-13,76867356;-42,72105283;772,5895;759,035;-13,5545;-13,62;0,0655;#REF!
3630V;93194;NORDESTE;BAHIA;-12,97383381;-38,51740203;1,8088;-9,057;-10,8658;-10,94;0,0742;#REF!
3636S;93189;NORDESTE;BAHIA;-12,94626722;-38,42287606;46,6058;35,947;-10,6588;-10,8;0,1412;#REF!
3640A;93195;NORDESTE;BAHIA;-12,97389839;-38,51724986;2,2087;-8,661;-10,8697;-10,94;0,0703;#REF!
3643X;93279;NORDESTE;BAHIA;-10,83752833;-40,11291661;349,778;337,479;-12,299;-12,24;-0,059;#REF!
3645T;93255;NORDESTE;BAHIA;-11,36263369;-40,01354008;404,0854;392,406;-11,6794;-11,7;0,0206;#REF!
3648M;93252;NORDESTE;BAHIA;-11,7967665;-39,41058664;221,8004;210,399;-11,4014;-11,46;0,0586;#REF!
3650S;93188;NORDESTE;BAHIA;-12,23923594;-38,97978522;240,4793;229,039;-11,4403;-11,46;0,0197;#REF!
3654M;93303;NORDESTE;BAHIA;-14,20967369;-42,08945283;648,2169;634,617;-13,5999;-13,53;-0,0699;#REF!
3659D;93272;NORDESTE;BAHIA;-14,59612492;-41,23945542;440,4643;428,51;-11,9543;-11,89;-0,0643;#REF!
3659J;93271;NORDESTE;BAHIA;-14,60146847;-41,16263758;410,434;398,62;-11,814;-11,71;-0,104;#REF!
3659V;93273;NORDESTE;BAHIA;-14,55756367;-41,15553717;437,9968;426,05;-11,9468;-11,85;-0,0968;#REF!
3660G;93274;NORDESTE;BAHIA;-14,40280708;-41,11487436;414,1169;401,85;-12,2669;-12,11;-0,1569;#REF!
3660P;93275;NORDESTE;BAHIA;-14,30288511;-41,150379;406,0272;393,53;-12,4972;-12,39;-0,1072;#REF!
3660X;93276;NORDESTE;BAHIA;-14,20588028;-41,20731411;341,1736;328,43;-12,7436;-12,54;-0,2036;#REF!
3661H;93277;NORDESTE;BAHIA;-14,08042889;-41,18653394;379,3618;366,8;-12,5618;-12,5;-0,0618;#REF!
3661R;93278;NORDESTE;BAHIA;-13,99016597;-41,13675711;348,6449;336,21;-12,4349;-12,3;-0,1349;#REF!
3662B;93290;NORDESTE;BAHIA;-13,85081606;-41,06431083;372,064;359,84;-12,224;-12,08;-0,144;#REF!
3662R;93291;NORDESTE;BAHIA;-13,72581239;-40,97899853;413,9876;401,95;-12,0376;-11,92;-0,1176;#REF!
3662X;93292;NORDESTE;BAHIA;-13,68051444;-40,91033136;435,1478;423,27;-11,8778;-11,83;-0,0478;#REF!
3663G;93293;NORDESTE;BAHIA;-13,61481864;-40,80082536;384,9818;373,31;-11,6718;-11,63;-0,0418;#REF!
3663U;93294;NORDESTE;BAHIA;-13,53825336;-40,65318719;386,8313;375,75;-11,0813;-11,09;0,0087;#REF!
3664E;93295;NORDESTE;BAHIA;-13,53621786;-40,55412486;703,58;693,15;-10,43;-10,61;0,18;#REF!
3664L;93296;NORDESTE;BAHIA;-13,61258556;-40,47769328;677,0562;666,98;-10,0762;-10,21;0,1338;#REF!
3664S;91313;NORDESTE;BAHIA;-13,68722172;-40,41058336;633,9528;624,05;-9,9028;-10,04;0,1372;#REF!
3664T;93297;NORDESTE;BAHIA;-13,69508197;-40,39253433;636,623;626,78;-9,843;-10;0,157;#REF!
3665B;93298;NORDESTE;BAHIA;-13,74809606;-40,29855014;681,8465;672,16;-9,6865;-9,84;0,1535;#REF!
